SKU	INVENTORY	MARKETPLACE_ID	MIN_PRICE	MAX_PRICE	CURRENT_SHIPPING
459176	9	9261	29.13	42.95	0
ANSWER 459176	9	9261	29.1335	42.95	0
459177	0	9261	29.13	42.95	0
ANSWER 459177	0	9261	29.1335	42.95	0
459178	0	9261	29.13	42.95	0
ANSWER 459178	0	9261	29.1335	42.95	0
459179	5	9261	29.13	42.95	0
ANSWER 459179	5	9261	29.1335	42.95	0
459180	9	9261	29.13	42.95	0
ANSWER 459180	9	9261	29.1335	42.95	0
459047	9	9261	98.96	132.95	0
ANSWER 459047	9	9261	98.955	132.95	0
459048	3	9261	98.96	132.95	0
ANSWER 459048	3	9261	98.955	132.95	0
459049	9	9261	98.96	132.95	0
ANSWER 459049	9	9261	98.955	132.95	0
459050	0	9261	98.96	132.95	0
ANSWER 459050	0	9261	98.955	132.95	0
459051	0	9261	98.96	132.95	0
ANSWER 459051	0	9261	98.955	132.95	0
459052	0	9261	98.96	132.95	0
ANSWER 459052	0	9261	98.955	132.95	0
459053	0	9261	98.96	132.95	0
ANSWER 459053	0	9261	98.955	132.95	0
459054	0	9261	98.96	132.95	0
ANSWER 459054	0	9261	98.955	132.95	0
459055	0	9261	98.96	132.95	0
ANSWER 459055	0	9261	98.955	132.95	0
459056	0	9261	98.96	132.95	0
ANSWER 459056	0	9261	98.955	132.95	0
459057	0	9261	98.96	132.95	0
ANSWER 459057	0	9261	98.955	132.95	0
459058	0	9261	98.96	132.95	0
ANSWER 459058	0	9261	98.955	132.95	0
459059	9	9261	43.28	62.95	0
ANSWER 459059	9	9261	43.2785	62.95	0
459060	9	9261	43.28	62.95	0
ANSWER 459060	9	9261	43.2785	62.95	0
459061	9	9261	43.28	62.95	0
ANSWER 459061	9	9261	43.2785	62.95	0
459062	9	9261	43.28	62.95	0
ANSWER 459062	9	9261	43.2785	62.95	0
459063	9	9261	43.28	62.95	0
ANSWER 459063	9	9261	43.2785	62.95	0
459064	0	9261	43.28	62.95	0
ANSWER 459064	0	9261	43.2785	62.95	0
459065	3	9261	32.70	47.95	0
ANSWER 459065	3	9261	32.6985	47.95	0
459066	4	9261	32.70	47.95	0
ANSWER 459066	4	9261	32.6985	47.95	0
459067	0	9261	32.70	47.95	0
ANSWER 459067	0	9261	32.6985	47.95	0
459068	0	9261	32.70	47.95	0
ANSWER 459068	0	9261	32.6985	47.95	0
459069	0	9261	32.70	47.95	0
ANSWER 459069	0	9261	32.6985	47.95	0
459070	9	9261	134.96	149.95	0
ANSWER 459070	9	9261	134.955	149.95	0
459071	9	9261	134.96	149.95	0
ANSWER 459071	9	9261	134.955	149.95	0
459072	9	9261	134.96	149.95	0
ANSWER 459072	9	9261	134.955	149.95	0
459073	9	9261	134.96	149.95	0
ANSWER 459073	9	9261	134.955	149.95	0
459074	9	9261	134.96	149.95	0
ANSWER 459074	9	9261	134.955	149.95	0
459075	2	9261	134.96	149.95	0
ANSWER 459075	2	9261	134.955	149.95	0
459076	0	9261	134.96	149.95	0
ANSWER 459076	0	9261	134.955	149.95	0
459181	0	9261	47.53	68.95	0
ANSWER 459181	0	9261	47.5335	68.95	0
459182	0	9261	47.53	68.95	0
ANSWER 459182	0	9261	47.5335	68.95	0
459183	0	9261	47.53	68.95	0
ANSWER 459183	0	9261	47.5335	68.95	0
459184	0	9261	47.53	68.95	0
ANSWER 459184	0	9261	47.5335	68.95	0
459185	0	9261	47.53	68.95	0
ANSWER 459185	0	9261	47.5335	68.95	0
459186	0	9261	47.53	68.95	0
ANSWER 459186	0	9261	47.5335	68.95	0
459187	9	9261	38.33	55.95	0
ANSWER 459187	9	9261	38.3335	55.95	0
459188	9	9261	38.33	55.95	0
ANSWER 459188	9	9261	38.3335	55.95	0
459189	9	9261	38.33	55.95	0
ANSWER 459189	9	9261	38.3335	55.95	0
459190	9	9261	38.33	55.95	0
ANSWER 459190	9	9261	38.3335	55.95	0
459191	9	9261	38.33	55.95	0
ANSWER 459191	9	9261	38.3335	55.95	0
459024	5	9261	98.96	132.95	0
ANSWER 459024	5	9261	98.955	132.95	0
459025	0	9261	98.96	132.95	0
ANSWER 459025	0	9261	98.955	132.95	0
459026	9	9261	98.96	132.95	0
ANSWER 459026	9	9261	98.955	132.95	0
459027	0	9261	98.96	132.95	0
ANSWER 459027	0	9261	98.955	132.95	0
459028	0	9261	98.96	132.95	0
ANSWER 459028	0	9261	98.955	132.95	0
459029	0	9261	98.96	132.95	0
ANSWER 459029	0	9261	98.955	132.95	0
459030	0	9261	98.96	132.95	0
ANSWER 459030	0	9261	98.955	132.95	0
459031	0	9261	98.96	132.95	0
ANSWER 459031	0	9261	98.955	132.95	0
459032	0	9261	98.96	132.95	0
ANSWER 459032	0	9261	98.955	132.95	0
459033	0	9261	98.96	132.95	0
ANSWER 459033	0	9261	98.955	132.95	0
459034	0	9261	98.96	132.95	0
ANSWER 459034	0	9261	98.955	132.95	0
459035	0	9261	98.96	132.95	0
ANSWER 459035	0	9261	98.955	132.95	0
